time_s,radius_cm,numerical,series,absolute_error
1.000000000000000000e+02,1.500000000000000000e+00,2.890346664233615215e+01,2.890346664526297360e+01,2.926821451865180279e-09
1.000000000000000000e+02,1.600000000000000089e+00,2.917230896558774589e+01,2.917230896936021622e+01,3.772470336116384715e-09
1.000000000000000000e+02,1.700000000000000178e+00,2.949311065072194893e+01,2.949311065511375318e+01,4.391804253600639640e-09
1.000000000000000000e+02,1.800000000000000044e+00,2.986751404872146765e+01,2.986751405335202136e+01,4.630553718243390904e-09
1.000000000000000000e+02,1.900000000000000133e+00,3.029508651789859286e+01,3.029508652226892806e+01,4.370335204839648213e-09
1.000000000000000000e+02,2.000000000000000000e+00,3.077315488241628927e+01,3.077315488598105730e+01,3.564768036312671029e-09
3.000000000000000000e+02,0.000000000000000000e+00,2.860612128569884405e+01,2.860612128424733314e+01,1.451510911465447862e-09
3.000000000000000000e+02,1.000000000000000056e-01,2.861399439576479153e+01,2.861399439433848357e+01,1.426307960628037108e-09
3.000000000000000000e+02,2.000000000000000111e-01,2.863770693236497422e+01,2.863770693101349352e+01,1.351480705125140958e-09
3.000000000000000000e+02,3.000000000000000444e-01,2.867753420681757603e+01,2.867753420558815947e+01,1.229416568548913347e-09
3.000000000000000000e+02,4.000000000000000222e-01,2.873392082169550932e+01,2.873392082063142894e+01,1.064080379364895634e-09
3.000000000000000000e+02,5.000000000000000000e-01,2.880745968389201295e+01,2.880745968303096305e+01,8.610498980488046072e-10
3.000000000000000000e+02,6.000000000000000888e-01,2.889886340597533376e+01,2.889886340534783926e+01,6.274945008044596761e-10
3.000000000000000000e+02,7.000000000000000666e-01,2.900892889460945412e+01,2.900892889423733934e+01,3.721147834312432678e-10
3.000000000000000000e+02,8.000000000000000444e-01,2.913849616798038866e+01,2.913849616787533137e+01,1.050572961958096130e-10
3.000000000000000000e+02,9.000000000000000222e-01,2.928840268655930146e+01,2.928840268672169600e+01,1.623945422579708975e-10
3.000000000000000000e+02,1.000000000000000000e+00,2.945943471185897877e+01,2.945943471227700883e+01,4.180300550160609419e-10
3.000000000000000000e+02,1.100000000000000089e+00,2.965227741087572610e+01,2.965227741152495256e+01,6.492264503776823403e-10
3.000000000000000000e+02,1.200000000000000178e+00,2.986746558183239486e+01,2.986746558267580554e+01,8.434106746335601201e-10
3.000000000000000000e+02,1.300000000000000044e+00,3.010533697108582984e+01,3.010533697207458204e+01,9.887521912332886131e-10
3.000000000000000000e+02,1.400000000000000133e+00,3.036599016453289224e+01,3.036599016560757036e+01,1.074678124268757529e-09
3.000000000000000000e+02,1.500000000000000000e+00,3.064924895617511069e+01,3.064924895726775489e+01,1.092644197342451662e-09
3.000000000000000000e+02,1.600000000000000089e+00,3.095463491412819934e+01,3.095463491516484211e+01,1.036642771623519366e-09
3.000000000000000000e+02,1.700000000000000178e+00,3.128134958013452760e+01,3.128134958103825980e+01,9.037322001859138254e-10
3.000000000000000000e+02,1.800000000000000044e+00,3.162826736071064460e+01,3.162826736140499406e+01,6.943494668121275026e-10
3.000000000000000000e+02,1.900000000000000133e+00,3.199393971294045258e+01,3.199393971335287290e+01,4.124203201172349509e-10
3.000000000000000000e+02,2.000000000000000000e+00,3.237661071960791759e+01,3.237661071967326620e+01,6.534861540785641409e-11
6.000000000000000000e+02,0.000000000000000000e+00,3.044246991374550149e+01,3.044246991413512760e+01,3.896261091540509369e-10
6.000000000000000000e+02,1.000000000000000056e-01,3.045152575623121649e+01,3.045152575662181604e+01,3.905995527020422742e-10
6.000000000000000000e+02,2.000000000000000111e-01,3.047867356343215661e+01,3.047867356382545978e+01,3.933031678116094554e-10
6.000000000000000000e+02,3.000000000000000444e-01,3.052385373783902267e+01,3.052385373823615566e+01,3.971329931573563954e-10
6.000000000000000000e+02,4.000000000000000222e-01,3.058696551596147728e+01,3.058696551636254313e+01,4.010658471997885499e-10
6.000000000000000000e+02,5.000000000000000000e-01,3.066786489124517345e+01,3.066786489164897489e+01,4.038014367324649356e-10
6.000000000000000000e+02,6.000000000000000888e-01,3.076636185188819894e+01,3.076636185229193643e+01,4.037374878862465266e-10
6.000000000000000000e+02,7.000000000000000666e-01,3.088221707234605518e+01,3.088221707274509242e+01,3.990372476891934639e-10
6.000000000000000000e+02,8.000000000000000444e-01,3.101513822735053694e+01,3.101513822773832629e+01,3.877893561821110779e-10
6.000000000000000000e+02,9.000000000000000222e-01,3.116477612060441871e+01,3.116477612097242655e+01,3.680078464185498888e-10
6.000000000000000000e+02,1.000000000000000000e+00,3.133072083600911029e+01,3.133072083634692717e+01,3.378168855761032319e-10
6.000000000000000000e+02,1.100000000000000089e+00,3.151249812669466621e+01,3.151249812699011343e+01,2.954472222427284578e-10
6.000000000000000000e+02,1.200000000000000178e+00,3.170956625592693001e+01,3.170956625616631896e+01,2.393889531049353536e-10
6.000000000000000000e+02,1.300000000000000044e+00,3.192131349418455599e+01,3.192131349435299725e+01,1.684412609392893501e-10
6.000000000000000000e+02,1.400000000000000133e+00,3.214705645868189521e+01,3.214705645876367868e+01,8.178346888598753139e-11
6.000000000000000000e+02,1.500000000000000000e+00,3.238603945604324963e+01,3.238603945602231704e+01,2.093258899549255148e-11
6.000000000000000000e+02,1.600000000000000089e+00,3.263743495669037031e+01,3.263743495655074156e+01,1.396287530042172875e-10
6.000000000000000000e+02,1.700000000000000178e+00,3.290034529202983293e+01,3.290034529175612477e+01,2.737081672421481926e-10
6.000000000000000000e+02,1.800000000000000044e+00,3.317380562417739043e+01,3.317380562375532094e+01,4.220694904688571114e-10
6.000000000000000000e+02,1.900000000000000133e+00,3.345678819434191809e+01,3.345678819375878277e+01,5.831353178109566215e-10
6.000000000000000000e+02,2.000000000000000000e+00,3.374820781181547602e+01,3.374820781106060252e+01,7.548734970441728365e-10
1.800000000000000000e+03,0.000000000000000000e+00,3.525594300075746901e+01,3.525594300092656397e+01,1.690949602561886422e-10
1.800000000000000000e+03,1.000000000000000056e-01,3.525939261044895545e+01,3.525939261061606800e+01,1.671125460234179627e-10
1.800000000000000000e+03,2.000000000000000111e-01,3.526972843264527313e+01,3.526972843280643133e+01,1.611581978977483232e-10
1.800000000000000000e+03,3.000000000000000444e-01,3.528691150113328945e+01,3.528691150128455689e+01,1.512674430159677286e-10
1.800000000000000000e+03,4.000000000000000222e-01,3.531087705339268012e+01,3.531087705353019146e+01,1.375113356516521890e-10
1.800000000000000000e+03,5.000000000000000000e-01,3.534153480152162530e+01,3.534153480164162886e+01,1.200035626425233204e-10
1.800000000000000000e+03,6.000000000000000888e-01,3.537876930988310420e+01,3.537876930998196201e+01,9.885781082630273886e-11
1.800000000000000000e+03,7.000000000000000666e-01,3.542244047782984495e+01,3.542244047790405403e+01,7.420908332278486341e-11
1.800000000000000000e+03,8.000000000000000444e-01,3.547238412540870911e+01,3.547238412545495123e+01,4.624212124326732010e-11
1.800000000000000000e+03,9.000000000000000222e-01,3.552841267949599313e+01,3.552841267951113480e+01,1.514166569904773496e-11
1.800000000000000000e+03,1.000000000000000000e+00,3.559031595737670983e+01,3.559031595735782361e+01,1.888622591650346294e-11
1.800000000000000000e+03,1.100000000000000089e+00,3.565786204435462281e+01,3.565786204429904416e+01,5.557865279115503654e-11
1.800000000000000000e+03,1.200000000000000178e+00,3.573079826156807570e+01,3.573079826147339588e+01,9.467981954003334977e-11
1.800000000000000000e+03,1.300000000000000044e+00,3.580885221979080058e+01,3.580885221965485954e+01,1.359410362056223676e-10
1.800000000000000000e+03,1.400000000000000133e+00,3.589173295461885971e+01,3.589173295443982425e+01,1.790354531294724438e-10
1.800000000000000000e+03,1.500000000000000000e+00,3.597913213808753596e+01,3.597913213786385001e+01,2.236859586446371395e-10
1.800000000000000000e+03,1.600000000000000089e+00,3.607072536142439390e+01,3.607072536115483530e+01,2.695585976653092075e-10
1.800000000000000000e+03,1.700000000000000178e+00,3.616617348333254967e+01,3.616617348301623025e+01,3.163194151056814007e-10
1.800000000000000000e+03,1.800000000000000044e+00,3.626512403790872696e+01,3.626512403754510672e+01,3.636202450252312701e-10
1.800000000000000000e+03,1.900000000000000133e+00,3.636721269603893347e+01,3.636721269562780634e+01,4.111271323381515685e-10
1.800000000000000000e+03,2.000000000000000000e+00,3.647206477387981494e+01,3.647206477342130171e+01,4.585132273859926499e-10
