time_s,radius_cm,temperature_C,moisture
1.000000000000000000e+02,2.197265625000000000e-02,2.800005362741879011e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.207031250000000139e-02,2.800005363030513550e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.216796874999999931e-02,2.800005363320433105e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.226562500000000069e-02,2.800005363611639808e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.236328125000000208e-02,2.800005363904132238e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.246093750000000000e-02,2.800005364197911817e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.255859375000000139e-02,2.800005364492977478e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.265625000000000278e-02,2.800005364789330287e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.275390625000000069e-02,2.800005365086969178e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.285156250000000208e-02,2.800005365385895217e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.294921875000000000e-02,2.800005365686108405e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.304687500000000139e-02,2.800005365987608030e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.314453125000000278e-02,2.800005366290394804e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.324218750000000069e-02,2.800005366594469081e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.333984375000000208e-02,2.800005366899830150e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.343750000000000000e-02,2.800005367206478013e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.353515624999999792e-02,2.800005367514414090e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.363281249999999931e-02,2.800005367823638025e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.373046875000000069e-02,2.800005368134149819e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.382812499999999861e-02,2.800005368445948051e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.392578125000000000e-02,2.800005368759034141e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.402343750000000139e-02,2.800005369073408446e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.412109374999999931e-02,2.800005369389070964e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.421875000000000069e-02,2.800005369706021696e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.431640624999999861e-02,2.800005370024260998e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.441406250000000000e-02,2.800005370343786382e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.451171875000000139e-02,2.800005370664602466e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.460937499999999931e-02,2.800005370986704989e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.470703125000000069e-02,2.800005371310097146e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.480468749999999861e-02,2.800005371634777873e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.490234375000000000e-02,2.800005371960747169e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.500000000000000139e-02,2.800005372288004324e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.509765624999999931e-02,2.800005372616551114e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.519531250000000069e-02,2.800005372946386473e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.529296875000000208e-02,2.800005373277511822e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.539062500000000000e-02,2.800005373609925030e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.548828125000000139e-02,2.800005373943628939e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.558593750000000278e-02,2.800005374278621062e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.568359375000000069e-02,2.800005374614903531e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.578125000000000208e-02,2.800005374952474924e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.587890625000000000e-02,2.800005375291335241e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.597656250000000139e-02,2.800005375631486615e+01,2.549999999999999822e+00
